"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3425","Normal/Others","WS/MP632/2025-2026/142067-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Interlock and Concreting of St. Mary’s Shrine – Anakkayam Road. (Thampalakkadu) in Kanjirappally Grama Panchayat.","20-Sep-2024","26-Apr-2025","496079","Physical Inspection"
"3426","Normal/Others","WS/MP632/2025-2026/142068-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meters LED Mini Mast Light at Pulikkunnu Top Junction  in Mundakkayam Grama Panchayat. (ST)","20-Sep-2024","06-May-2025","250000","Sanction"
"3427","Normal/Others","WS/MP632/2024-2025/142069-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Sree Mahavishnu Temple Junction in Mundakkayam Grama Panchayat (ST)","20-Sep-2024","30-Jan-2025","217501","Physical Inspection"
"3428","Normal/Others","WS/MP632/2024-2025/142070-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Vengakkunnu Bhagam in Mundakkayam Grama Panchayat. (SC)","20-Sep-2024","16-Dec-2024","217501","Physical Inspection"
"3429","Normal/Others","WS/MP632/2025-2026/142072-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 10 Meter LED High Mast Light at Chappath Junction in Koottickal Grama Panchayat.","20-Sep-2024","26-Apr-2025","400000","Sanction"
"3430","Normal/Others","WS/MP632/2024-2025/142073-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Back Side of St. Antony’s Public School, Anakkal in kanjirappally Grama Panchayat.","20-Sep-2024","28-Feb-2025","217501","Physical Inspection"
"3431","Normal/Others","WS/MP632/2025-2026/142074-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Masjidul Khadiriyya Muslim Jama Ath Junction, Chotty in Mundakkayam Grama Panchayat.","20-Sep-2024","26-Apr-2025","215789","Physical Inspection"
"3432","Normal/Others","WS/MP632/2024-2025/142075-Purchase of books and periodicals for libraries/digitization of library books","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing Library Books to C. Kesavan Memorial Higher Secondary School in Koruthodu Grama Panchayat.","20-Sep-2024","28-Feb-2025","50000","Physical Inspection"
"3433","Normal/Others","WS/MP632/2025-2026/142076-Purchase of ambulances (Four, three and two wheelers)","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Purchase of Vechicle for Mobile Dispensary at Primary Health Centre in Manimala Grama Panchayat.","20-Sep-2024","10-Mar-2026","900000","Sanction"
"3434","Normal/Others","WS/MP632/2025-2026/142077-Construction of bus-sheds or bus-stops","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Construction of Bus Waiting Shed at Grama Panchayath Office Junction in Nedumkunnam Grama Panchayat.","20-Sep-2024","07-May-2025","483960","Physical Inspection"
"3435","Normal/Others","WS/MP632/2024-2025/142079-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at Painumkal Pady Junction in Chirakkadavu Grama Panchayat.","20-Sep-2024","25-Feb-2025","218793","Physical Inspection"
"3436","Normal/Others","WS/MP632/2025-2026/142080-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 8 Meter LED Mini Mast Light at St. Ephrem’s Church Junction, Thamarakkunnu in Chirakkadavu Grama Panchayat.","20-Sep-2024","26-Apr-2025","218071","Physical Inspection"
"3437","Normal/Others","WS/MP632/2025-2026/142081-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing Four Computer and Accessories to St. Ephrem’s UP School in Chirakkadavu Grama Panchayat.","20-Sep-2024","21-Apr-2025","200000","Sanction"
"3438","Normal/Others","WS/MP632/2025-2026/142082-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 10 Meter LED High Mast Light at Kalaketty Town ion Thidanadu Grama Panchayat.","20-Sep-2024","07-May-2025","379779","Physical Inspection"
"3439","Normal/Others","WS/MP632/2024-2025/142086-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","Providing 10 Meter LED High Mast Light in front of Private Bus Stand in Kanjirappally Grama Panchayat.","20-Sep-2024","16-Dec-2024","398467","Physical Inspection"
"3440","Normal/Others","WS/MP743/2025-2026/142089-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of New Building at Konerikuppam Panchayat, Kanchipuram Panchayat Union.","20-Sep-2024","16-May-2025","944811","Physical Inspection"
"3441","Normal/Others","WS/MP743/2024-2025/142090-Construction of bus-sheds or bus-stops","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Bus Shelter at Vaiyavur Colony, Vaiyavur Panchayat in Walajabad Panchayat Union.","20-Sep-2024","27-Mar-2025","498490","Physical Inspection"
"3442","Normal/Others","WS/MP743/2024-2025/142091-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Anganwadi Building at Govindavadi Colony, Govindavadi Panchayat, Walajabad Panchayat Union.","20-Sep-2024","27-Mar-2025","1498588","Physical Inspection"
"3443","Normal/Others","WS/MP743/2025-2026/142092-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Community Hall at Naickenkuppam Panchayat, Walajabad Panchayat Union.","20-Sep-2024","12-Apr-2025","3993140","Physical Inspection"
"3444","Normal/Others","WS/MP743/2025-2026/142093-Construction of buildings for crèches and anganwadies","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Anganwadi Building at Ward No.14 Uthiramerur Town Panchayat.","20-Sep-2024","17-May-2025","1600000","Physical Inspection"
"3445","Normal/Others","WS/MP18106/2024-2025/142099-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","GRAM MLAPURA, GRAM PANCHYAT IKLAUD, JANPAD PANCHAYAT VIJAYPUR BHAGWANT KE KHET KE PASS","20-Sep-2024","08-Oct-2024","800000","Work Completed"
"3446","Normal/Others","WS/MP743/2025-2026/142100-Construction of bus-sheds or bus-stops","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Bus Shelter at Kattupakkam Village, Menalur Panchayat Uthiramerur Panchayat Union.","20-Sep-2024","01-Apr-2025","631745","Physical Inspection"
"3447","Normal/Others","WS/MP18106/2024-2025/142103-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","GRAM PANCHAYAT LADPURA, JANPAD PANCHAYAT VIJAYPUR, COLLAGE WALE RASTE PER","24-Sep-2024","08-Oct-2024","800000","Work Completed"
"3448","Normal/Others","WS/MP743/2025-2026/142104-Construction of buildings for community cultural activities","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Drama Stage at Kammalampoondi Panchayat in Uthiramerur Panchayat Union.","20-Sep-2024","01-Apr-2025","999900","Physical Inspection"
"3449","Normal/Others","WS/MP18106/2024-2025/142105-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","GRAM PANCHAYAT SARANGPUR JANPAD PANCHAYAT VIJAYPUR SHAMSHAN GHAT WALE RASTE PER","11-Oct-2024","16-Dec-2024","800000","Vendor Identification"
"3450","Normal/Others","WS/MP18106/2024-2025/142106-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat nitanwas janpat panchayat vijaypur nawesh kewat ke ghar ke pass","15-Oct-2024","16-Dec-2024","800000","Vendor Identification"
"3451","Normal/Others","WS/MP18106/2024-2025/142107-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram ranawad janpat panchayat vijaypur shri niwas ke khet ke pass","26-Sep-2024","08-Oct-2024","800000","Vendor Identification"
"3452","Normal/Others","WS/MP18106/2024-2025/142108-Construction of culverts and bridges","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram nimaniya janpat panchayat karhal, semna road per parsadi kushwah ke khet ke pass","24-Sep-2024","25-Sep-2024","800000","Vendor Identification"
"3453","Normal/Others","WS/MP457/2024-2025/142109-Construction of buildings for community cultural activities","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Drama Stage in Ward No 32, Vazhuthareddy, Viluppuram Municipality","20-Sep-2024","20-Nov-2024","800000","Physical Inspection"
"3454","Normal/Others","WS/MP429/2024-2025/142111-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","CC Road construction from Samund Singh ghar towards Gothan at Sajapani Gram Panchayat. Vikas Khand - Kartala","20-Sep-2024","21-Oct-2024","498606","Physical Inspection"
"3455","Normal/Others","WS/MP429/2024-2025/142112-Construction of common work sheds/ common covered sitting area","Chhattisgarh","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","Construction of Covered Manch at Junapara Mahadev Chowk. Gram Panchayat - Jogipali, Vikas Khand - Kartala","20-Sep-2024","20-Dec-2024","300000","Work partially Completed"
"3456","Normal/Others","WS/MP429/2024-2025/142113-Construction of community centers and community halls","Chhattisgarh","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","Construction of Covered Manch behind Kabir Bhawan( Samudayik Bhawan ) in Ward 51.","20-Sep-2024","25-Feb-2025","500000","Work partially Completed"
"3457","Normal/Others","WS/MP18106/2024-2025/142118-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat laxmanpura, janpad vijaypur, badkhera main road se mandir tak","26-Sep-2024","08-Oct-2024","800000","Vendor Identification"
"3458","Normal/Others","WS/MP18106/2024-2025/142119-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat parwati baroda, janpad vijaypur, dhoret mandir se manfool kushwah ke makan tak","26-Sep-2024","08-Oct-2024","800000","Work Completed"
"3459","Normal/Others","WS/MP18106/2024-2025/142120-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat madha, janpad panchayat vijaypur, vijaypur main road se kushwah basti tak","15-Oct-2024","17-Dec-2024","800000","Vendor Identification"
"3460","Normal/Others","WS/MP18106/2024-2025/142121-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram sukhpura, gram panchayat gopalpura, janpad vijaypur, kushwah basti mai","15-Oct-2024","17-Dec-2024","800000","Vendor Identification"
"3461","Normal/Others","WS/MP18106/2024-2025/142123-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram chapret silapura, gram panchayat chentikheda, janpad vijaypur, mai adivasi  basti mai","15-Oct-2024","17-Dec-2024","800000","Vendor Identification"
"3462","Normal/Others","WS/MP18106/2024-2025/142124-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat khitarpal, janpad panchayat vijaypur, main road se shri kali mata mandir tak","15-Oct-2024","17-Dec-2024","800000","Vendor Identification"
"3463","Normal/Others","WS/MP18106/2024-2025/142125-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","gram panchayat dehari, janpad panchayat vijaypur, gram ladar mai aadivasi basti mai","26-Sep-2024","08-Oct-2024","800000","Work Completed"
"3464","Normal/Others","WS/MP720/2024-2025/142128-Providing garbage collection and disposal systems","Rajasthan","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","Chandra Prakash Joshi","CHITTORGARH","GARAM PANCHAYAT ME KACHARA SAGRNHAN HETU VAHAN/MINI TAKTAR","21-Sep-2024","16-Dec-2024","400000","Physical Inspection"
"3465","Repair and Renovation","WS/MP585/2025-2026/142133-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","Upgradation and renovation of saijpur Urban Health Cenre","21-Sep-2024","15-Apr-2025","999505","Vendor Identification"
"3466","Normal/Others","WS/MP549/2024-2025/142140-Lighting of public spaces","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","bajrangbali chowk abjuganj ke pass","23-Sep-2024","06-Dec-2024","918100","Physical Inspection"
"3467","Normal/Others","WS/MP549/2024-2025/142141-Installation of multi-gym equipment","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","High School Ganganiya","23-Sep-2024","06-Dec-2024","1995127","Physical Inspection"
"3468","Normal/Others","WS/MP549/2024-2025/142142-Installation of multi-gym equipment","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","Uchh Madhyamik vidhyalay Asiyachak","23-Sep-2024","06-Dec-2024","1995127","Physical Inspection"
"3469","Normal/Others","WS/MP549/2024-2025/142144-Installation of multi-gym equipment","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","Uchh Madhyamik vidhyalay Dudhela","23-Sep-2024","06-Dec-2024","1995127","Physical Inspection"
"3470","Normal/Others","WS/MP549/2024-2025/142145-Installation of multi-gym equipment","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","Uchh Madhyamik vidhyalay Pan","23-Sep-2024","06-Dec-2024","1995127","Physical Inspection"
"3471","Normal/Others","WS/MP549/2024-2025/142146-Installation of multi-gym equipment","Bihar","BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA)","Giridhari Yadav","BANKA","Uchh Madhyamik vidhyalay Krishnanad","23-Sep-2024","06-Dec-2024","1995127","Physical Inspection"
"3472","Normal/Others","WS/MP18238/2024-2025/142151-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Sohanag dham chauraha, Development Block-Salempur","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3473","Normal/Others","WS/MP18238/2024-2025/142152-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Sri nagar chauraha, Development Block-Salempur","24-Sep-2024","06-Feb-2025","312780","Physical Inspection"
"3474","Normal/Others","WS/MP18238/2024-2025/142153-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Police booth of Navalpur chauraha, Development Block-Salempur","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
"3475","Normal/Others","WS/MP18238/2024-2025/142154-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Musaila buzurg chauraha Development Block-Salempur","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
"3476","Normal/Others","WS/MP18238/2024-2025/142155-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Sahjour chauraha, Development block-Lar","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
"3477","Normal/Others","WS/MP18238/2024-2025/142156-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Pindi chauraha Development Block-Lar","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
"3478","Normal/Others","WS/MP18238/2024-2025/142157-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on Meharouna Bajar chauraha, Development Block-Lar","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
"3479","Normal/Others","WS/MP18238/2024-2025/142158-Street lights","Uttar Pradesh","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","One 9 meter high mast LED light on number 3 chauraha of Majhawalia Development block-Lar","24-Sep-2024","06-Feb-2025","312789","Physical Inspection"
