"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"104","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186923","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"105","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186926","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"106","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186942","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"107","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186924","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"108","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187588","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"109","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187595","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"110","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171619","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"111","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187363","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"112","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"113","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"114","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171622","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"115","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171582","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"116","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171388","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"117","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"118","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171580","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"119","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171581","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"120","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171571","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"121","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171577","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"122","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171579","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"123","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"124","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171469","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"125","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171470","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"126","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171466","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"127","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171467","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"128","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171454","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"129","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171451","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"130","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171468","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"131","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171410","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"132","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171502","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"133","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171449","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"134","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171420","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"135","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184334","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"136","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184338","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"137","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"138","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184330","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"139","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"140","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"141","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"142","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171611","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"143","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171612","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"144","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171613","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"145","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171614","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"146","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171392","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"147","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171393","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"148","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171592","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"149","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"150","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186921","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"151","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186922","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"152","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/291383","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"153","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/291386","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","160000"
"154","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283445","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"155","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283444","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"156","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283450","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"157","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283449","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"158","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283448","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"159","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283446","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"160","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283586","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"161","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/283588","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"162","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/273088","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"163","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/274243","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"164","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/273087","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"165","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283589","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"166","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/283712","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"167","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/291385","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","160000"
"168","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/277326","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"169","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/276181","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"170","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/274242","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"171","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290324","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"172","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290325","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"173","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290320","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"174","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290321","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"175","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290322","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"176","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290317","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"177","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290318","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"178","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/290319","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","219000"
"179","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292202","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"180","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292203","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"181","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292201","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"182","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292197","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"183","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292198","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"184","Jharkhand","Construction of community centers and community halls","WS/MP18072/2026-2027/292193","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","750000"
"185","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292195","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"186","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296351","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"187","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296348","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"188","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/174610","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","07-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","1962"
"189","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP555/2025-2026/155658","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Sunil Kumar","VALMIKI NAGAR","09-Sep-2026","ASSISTANT ENGINEER MPLADS VALMIKINAGAR","Payment In-Progress","397906"
"190","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184339","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"191","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"192","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"193","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"194","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184472","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"195","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"196","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","09-Sep-2026","amar nath bagli kalan","Payment In-Progress","35562"
"197","Punjab","Construction of footpaths and pedestrian ways","WS/MP18155/2025-2026/247629","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Sep-2026","MS LOVELY ENTERPRISES","Payment In-Progress","45600"
"198","Punjab","Construction of footpaths and pedestrian ways","WS/MP18155/2025-2026/247629","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Sep-2026","MS LOVELY ENTERPRISES","Payment In-Progress","45600"
"199","Kerala","Lighting of public spaces","WS/MP346/2025-2026/206480","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","05-Sep-2026","ALLUMINA ELECTRONICS","Payment In-Progress","242517"
"200","Kerala","Purchase of vans and buses for educational institutions","WS/MP18306/2026-2027/268989","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","10-Sep-2026","TATA MOTORS","Payment In-Progress","1642856"
"201","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/246711","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","03-Sep-2026","TATA MOTORS","Payment In-Progress","1601555"
"202","Kerala","Lighting of public spaces","WS/MP18305/2026-2027/287608","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","09-Sep-2026","ALLUMINA ELECTRONICS","Payment In-Progress","173006"
